rank,doc_id,nama_kos,lokasi_kecamatan,review_text,score,summary
1,D15,Kost 43 Ibu Siti Matoyah,Cibeunying Kidul,"kost nya bersih dan bagus, lengkap dengan fasilitas nya",0.4484985916132225,"kost nya bersih dan bagus, lengkap dengan fasilitas nya"
2,D24,Kost Putra Icih Nata,Cibeunying Kidul ,"Mantap, fasilitas lengkap (air dan listrik sudah termasuk biaya kos). WiFi Indihome patungan, speed max di 50 Mbps, FUP/kuota WiFi 1,8 TB (1800 GB/bulan), cukup untuk seluruh penghuni kos dalam 1 bulan (selama pemakaian internet wajar dan tidak boros). Tempat parkir motor terbatas (tamu tidak bisa parkir). Masjid dekat, warung dekat, Itenas dekat, warteg dekat, Indomaret dekat.",0.234548349809312,"WiFi Indihome patungan, speed max di 50 Mbps, FUP/kuota WiFi 1,8 TB (1800 GB/bulan), cukup untuk seluruh penghuni kos dalam 1 bulan (selama pemakaian internet wajar dan tidak boros). Masjid dekat, warung dekat, Itenas dekat, warteg dekat, Indomaret dekat."
3,D27,Kost Oranye Cikutra Baru,Cibeunying Kaler,"Udah 1 tahunan kost disini, ibu sama bapak kost nya baik. Fasilitas lengkap, posisi strategis harga juga middle.",0.1966307043378257,"Udah 1 tahunan kost disini, ibu sama bapak kost nya baik. Fasilitas lengkap, posisi strategis harga juga middle."
4,D26,Kost Putra Teh Eva,Cibeunying Kidul ,"Kost pria yang bersih dan nyaman, fasilitas lengkap (mesin cuci & jemuran), wifi yg stabil, CCTV, smart tv di setiap kamar, air 24 jam, dapur umum dan parkiran motor yg luas. Highly recommended untuk yg lagi nyari kos-kosan pria di daerah Kota Bandung. Dekat dari beberapa kampus seperti Universitas Sangga Buana YPKP, ITENAS.",0.18664051311812618,"Kost pria yang bersih dan nyaman, fasilitas lengkap (mesin cuci & jemuran), wifi yg stabil, CCTV, smart tv di setiap kamar, air 24 jam, dapur umum dan parkiran motor yg luas. Highly recommended untuk yg lagi nyari kos-kosan pria di daerah Kota Bandung."
5,D4,"Pondok Kost Audit - STABA, Ekuitas, YPKP, Widyatama, Itenas, ARS khusus Putri",Cimenyan,"Tempatnya oke, fasilitas lengkap ada mesin cuci, dapur bersama, ruang tamu sama meja makan, mantap",0.1848889729466924,"Tempatnya oke, fasilitas lengkap ada mesin cuci, dapur bersama, ruang tamu sama meja makan, mantap"
