term,idf
wifi,2.8245492920510458
yg,2.8245492920510458
luas,2.8245492920510458
bagus,2.8245492920510458
aman,2.8245492920510458
mandi,2.8245492920510458
strategis,2.8245492920510458
rumah,2.8245492920510458
sama,2.8245492920510458
tahun,2.8245492920510458
itenas,2.8245492920510458
kampus,2.8245492920510458
harga,2.8245492920510458
dapur,2.8245492920510458
air,2.6422277352570913
ibu,2.488077055429833
kamar,2.488077055429833
ramah,2.488077055429833
kosan,2.488077055429833
sangat,2.35454566280531
tempat,2.236762627148927
ada,2.236762627148927
kos,2.236762627148927
disini,2.236762627148927
baik,2.1314021114911004
dekat,2.1314021114911004
lengkap,2.1314021114911004
fasilitas,2.1314021114911004
kost,1.8690378470236095
bersih,1.8690378470236095
nyaman,1.7259370033829362
