rank,doc_id,nama_kos,lokasi_kecamatan,review_text,score,summary
1,D5,Kost Putri Sakinah Bandung,Cibeunying Kidul,Tempat yang bagus dan aman untuk ditinggali.,0.3210970742120994,Tempat yang bagus dan aman untuk ditinggali.
2,D30,Kost Bumi Putri,Cibeunying Kidul,Anak saya sudah 2 tahun kos disini tempatnya bersih dan yang sangat penting itu aman.,0.3170680426541603,Anak saya sudah 2 tahun kos disini tempatnya bersih dan yang sangat penting itu aman.
3,D28,Kost Lavender,Cibeunying Kaler,"Bersih. Dilengkapi dengan pemanas air dan kamar mandi di dalam kamar. Cocok untuk sewa bulanan atau harian. Namun, sedikit mahal untuk mahasiswa.",0.2914183582038431,Dilengkapi dengan pemanas air dan kamar mandi di dalam kamar. Cocok untuk sewa bulanan atau harian.
4,D13,Kost Putra Cikutra TCB25,Cibeunying Kaler ,"Pelayanan kosan terbaik, kebersihan kamar, kamar mandi, dan fasilitas yang sangat bersih, Wifi kenceng. Ibu kos sangat ramah dan responsif. Bakal langganan nginep disini kalo main kebandung, Terima kasihh Kost Putra Cikutra",0.22034768949778288,"Pelayanan kosan terbaik, kebersihan kamar, kamar mandi, dan fasilitas yang sangat bersih, Wifi kenceng. Bakal langganan nginep disini kalo main kebandung, Terima kasihh Kost Putra Cikutra"
5,D11,Kost Putri Cikutra - Griya Handayani,Cibeunying Kaler,Tempat ini nyaman dan aman karena ada seorang pemilik rumah yang tinggal di sana.,0.2158595976853204,Tempat ini nyaman dan aman karena ada seorang pemilik rumah yang tinggal di sana.
